,Unnamed: 0,💵 Cost,Cost2
130,130,Affordable,"$2,299"
131,131,Okay,"$2,617"
132,132,Too expensive,"$4,413"
133,133,Pricey,"$3,024"
134,134,Affordable,"$1,014"
135,135,Affordable,"$1,302"
136,136,Cheap,$861
137,137,Okay,"$2,908"
138,138,Affordable,"$1,470"
139,139,Affordable,"$1,351"
140,140,Affordable,"$2,032"
141,141,Affordable,"$1,553"
142,142,Affordable,"$1,230"
143,143,Affordable,"$1,169"
144,144,Pricey,"$3,925"
145,145,Affordable,"$2,064"
146,146,Affordable,"$1,620"
147,147,Affordable,"$2,468"
148,148,Affordable,"$1,047"
149,149,Affordable,"$1,216"
150,150,Cheap,$927
151,151,Okay,"$2,553"
152,152,Affordable,"$1,966"
153,153,Affordable,"$1,016"
154,154,Affordable,"$1,494"
155,155,Affordable,"$2,157"
156,156,Affordable,"$1,700"
157,157,Pricey,"$3,098"
158,158,Way too expensive,"$5,084"
159,159,Affordable,"$1,268"
160,160,Affordable,"$1,363"
161,161,Affordable,"$1,207"
162,162,Affordable,"$1,382"
163,163,Pricey,"$3,731"
164,164,Affordable,"$1,814"
165,165,Cheap,$961
166,166,Affordable,"$1,634"
167,167,Affordable,"$1,291"
168,168,Okay,"$2,799"
169,169,Pricey,"$3,104"
170,170,Pricey,"$3,066"
171,171,Too expensive,"$4,153"
172,172,Pricey,"$3,601"
173,173,Okay,"$2,558"
174,174,Affordable,"$2,311"
175,175,Pricey,"$3,015"
176,176,Cheap,$900
177,177,Affordable,"$1,260"
178,178,Affordable,"$1,918"
179,179,Pricey,"$3,821"
180,180,Affordable,"$1,432"
181,181,Cheap,$706
182,182,Affordable,"$1,687"
183,183,Okay,"$2,579"
184,184,Affordable,"$1,261"
185,185,Pricey,"$3,929"
186,186,Affordable,"$1,235"
187,187,Affordable,"$1,575"
188,188,Okay,"$2,988"
189,189,Affordable,"$1,743"
190,190,Affordable,"$1,811"
191,191,Affordable,"$1,350"
192,192,Pricey,"$3,210"
193,193,Affordable,"$2,438"
194,194,Affordable,"$2,008"
195,195,Affordable,"$2,461"
196,196,Pricey,"$3,017"
197,197,Cheap,$977
198,198,Okay,"$2,632"
199,199,Affordable,"$1,011"
200,200,Affordable,"$1,354"
201,201,Pricey,"$3,827"
202,202,Okay,"$2,948"
203,203,Affordable,"$1,348"
204,204,Affordable,"$1,099"
205,205,Pricey,"$3,085"
206,206,Affordable,"$1,371"
207,207,Cheap,$798
208,208,Affordable,"$2,146"
209,209,Cheap,$764
210,210,Affordable,"$2,098"
211,211,Affordable,"$2,496"
212,212,Cheap,$945
213,213,Affordable,"$1,532"
214,214,Affordable,"$1,336"
215,215,Cheap,$831
216,216,Too expensive,"$4,268"
217,217,Okay,"$2,584"
218,218,Okay,"$2,659"
219,219,Cheap,$808
220,220,Pricey,"$3,194"
221,221,Affordable,"$1,246"
222,222,Too expensive,"$4,054"
223,223,Affordable,"$2,087"
224,224,Okay,"$2,863"
225,225,Pricey,"$3,658"
226,226,Affordable,"$1,581"
227,227,Affordable,"$2,249"
228,228,Okay,"$2,741"
229,229,Okay,"$2,782"
230,230,Affordable,"$1,593"
231,231,Affordable,"$1,424"
232,232,Affordable,"$1,129"
233,233,Cheap,$971
234,234,Cheap,$723
235,235,Pricey,"$3,819"
236,236,Affordable,"$1,755"
237,237,Cheap,$641
238,238,Affordable,"$1,262"
239,239,Affordable,"$1,939"
240,240,Affordable,"$1,180"
241,241,Okay,"$2,887"
242,242,Pricey,"$3,059"
243,243,Okay,"$2,742"
244,244,Affordable,"$1,656"
245,245,Okay,"$2,735"
246,246,Okay,"$2,804"
247,247,Cheap,$517
248,248,Too expensive,"$4,814"
249,249,Affordable,"$1,024"
250,250,Pricey,"$3,542"
251,251,Pricey,"$3,037"
252,252,Okay,"$2,863"
253,253,Affordable,"$1,150"
254,254,Okay,"$2,788"
255,255,Okay,"$2,924"
256,256,Okay,"$2,815"
257,257,Pricey,"$3,515"
