,City,Total score,Quality of life score,Family score,Cost,Internet,Fun,Safety,Lack of crime,Lack of racism,Education level,Income level,English speaking,Walkability,Traffic safety,Happiness,Nightlife,Free WiFi in city,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,Hospitals,Country,Continent,Ciudad_Country,Latitude,Longitude
69,Ho Chi Minh City,3.73,Okay,Okay,Cheap,Good,Great,Good,Good,Bad,Low,Very low,Bad,Great,Bad,Bad,Good,Good,Okay,Okay,Bad,Okay,Bad,Bad,Good,Vietnam,Asia,"Ho Chi Minh City, Vietnam",10.7715512,106.6983801
70,Denver,3.83,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Okay,Okay,Good,Good,Bad,Great,Okay,Great,United States,North America,"Denver, United States",39.7392364,-104.9848623
71,Vienna,3.91,Good,Good,Okay,Fast,Okay,Good,Great,Bad,High,High,Good,Great,Okay,Good,Good,Great,Okay,Good,Great,Okay,Great,Okay,Unknown,Austria,Europe,"Vienna, Austria",48.2083537,16.3725042
72,Cancun,3.9,Good,Okay,Affordable,Good,Great,Good,Bad,Okay,Mediocre,Very low,Bad,Great,Okay,Good,Good,Great,Good,Good,Bad,Okay,Great,Bad,Bad,Mexico,Latin America,"Cancun, Mexico",21.1617854,-86.8510468
73,Washington,3.76,Good,Good,Way too expensive,Super fast,Good,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Great,Great,Good,Good,Good,Great,Okay,Great,United States,North America,"Washington, United States",38.8950368,-77.0365427
74,Boston,3.81,Good,Good,Way too expensive,Fast,Good,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Great,Okay,Good,Good,Great,Good,Great,United States,North America,"Boston, United States",42.3602534,-71.0582912
75,Kotor,3.74,Good,Okay,Affordable,Fast,Okay,Good,Good,Unknown,High,Very low,Bad,Bad,Okay,Okay,Bad,Bad,Unknown,Unknown,Okay,Bad,Okay,Bad,Unknown,Montenegro,Europe,"Kotor, Montenegro",42.4248515,18.7710437
76,San Francisco,3.79,Good,Good,Way too expensive,Super fast,Bad,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Great,Good,Okay,Good,Okay,Great,Good,Great,United States,North America,"San Francisco, United States",37.7790262,-122.419906
77,Wellington,3.83,Good,Good,Okay,Fast,Okay,Good,Great,Great,Very high,High,Great,Great,Okay,Great,Okay,Great,Okay,Great,Great,Great,Great,Okay,Great,New Zealand,Oceania,"Wellington, New Zealand",-41.2887953,174.7772114
78,Amsterdam,3.72,Good,Good,Way too expensive,Fast,Good,Good,Great,Good,High,High,Great,Great,Okay,Great,Good,Good,Bad,Good,Great,Good,Great,Okay,Great,Netherlands,Europe,"Amsterdam, Netherlands",52.3727598,4.8936041
79,Tampa,3.73,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Good,Great,Good,Good,Good,Great,Okay,Great,United States,North America,"Tampa, United States",27.9477595,-82.458444
80,Thessaloniki,3.75,Good,Okay,Affordable,Fast,Okay,Great,Great,Bad,High,Low,Okay,Great,Okay,Okay,Good,Okay,Okay,Good,Good,Good,Good,Okay,Good,Greece,Europe,"Thessaloniki, Greece",40.6403167,22.9352716
81,Coimbra,3.63,Good,Okay,Affordable,Fast,Okay,Great,Great,Okay,Mediocre,Low,Great,Great,Okay,Okay,Okay,Okay,Great,Good,Good,Great,Great,Okay,Good,Portugal,Europe,"Coimbra, Portugal",40.2111931,-8.4294632
82,Hamburg,3.78,Good,Good,Pricey,Fast,Great,Good,Great,Good,High,High,Good,Great,Okay,Good,Okay,Okay,Bad,Good,Great,Great,Great,Okay,Great,Germany,Europe,"Hamburg, Germany",53.550341,10.000654
